annee,trimestre,code_zone_d_emploi,effectifs_salaries_brut,effectifs_salaries_cvs,masse_salariale_cvs
2012,2,8413,33886,39629,247411972
2012,1,8433,57289,57841,359105171
2012,3,8434,41434,41439,255637337
2012,2,8435,39054,39019,240064032
2012,2,0055,17899,17652,141516256
2012,4,0055,17676,17763,141663053
2012,1,0059,7690,7785,45495520
2012,2,0059,7854,7802,45659860
2012,3,8417,16767,16627,96300971
2012,4,8419,25294,25443,139075425
2012,1,8424,20870,21050,116466929
2012,1,0101,1414,1420,7232736
2012,4,0101,1377,1365,7378595
2012,3,0102,5562,5615,31417425
2012,2,0103,1161,1086,5779407
2012,4,0103,1080,1114,5877188
2012,2,0104,52228,52335,364130464
2012,4,0104,53254,52650,371124082
2012,3,0105,8500,8551,49839177
2012,4,0105,8689,8593,50228407
2012,1,0201,5199,5246,31069798
2012,2,0201,5252,5198,30993997
2012,3,0201,5223,5191,31488533
2012,3,0202,47098,47080,336756568
2012,4,0202,47633,47244,338080361
2012,1,0203,812,812,4244664
2012,3,0203,887,887,4321127
2012,2,0205,4157,4209,22511425
2012,4,0206,8430,8381,51938101
2012,1,0301,20126,20407,138980771
2012,2,0301,20283,20558,141546723
2012,3,0301,20859,20723,143488768
2012,1,0302,1926,1924,10639556
2012,2,0302,1980,1984,10708219
2012,4,0302,2031,2033,11046001
2012,2,1101,141743,140333,995454317
2012,4,1101,139903,139680,993292824
2012,2,1102,10278,10212,59852391
2012,1,1103,17914,18033,128547641
2012,2,1103,18011,17892,128584694
2012,3,1103,18123,18091,129031622
2012,2,1104,141332,140687,1006565941
2012,3,1104,140667,140826,1005225396
2012,3,1105,34727,34669,234552587
2012,3,2409,26954,26937,166212568
2012,4,2410,131160,130558,878535666
2012,3,2412,17663,17647,99745425
2012,3,2413,140152,139816,888748776
2012,4,2413,139293,139508,891492366
2012,2,2414,14489,14396,86803696
2012,3,2414,14288,14337,86410228
2012,4,2414,14164,14212,87136293
2012,3,2415,10029,9975,59500647
2012,3,0056,2860,2819,20738268
2012,4,0056,2780,2808,20206882
2012,2,0057,22605,22525,138007990
2012,1,0060,2085,2104,12092464
2012,2,0060,2104,2080,11992980
2012,3,0060,2102,2090,11954452
2012,2,2701,8557,8454,45641169
2012,2,2702,44734,44271,261303210
2012,4,2703,9710,9818,53056438
2012,1,2704,19777,20146,125306902
2012,3,2704,20835,20456,126816947
2012,1,2709,12799,13009,76814515
2012,3,2709,13088,12964,73310960
2012,1,2716,12618,12590,79770519
2012,1,2803,14483,14602,89263285
2012,3,2803,14727,14619,89876652
2012,4,2803,14673,14783,89815670
2012,2,2815,206700,205384,1358651407
2012,1,2819,26829,26946,184202608
2012,4,2819,26458,26624,186786357
2012,1,0054,3617,3640,24986836
2012,4,0054,3643,3610,24414723
2012,3,0058,12953,12953,84550134
2012,1,2801,7929,7998,45709237
2012,1,2802,21363,21645,121245216
2012,2,2804,137667,136274,824296212
2012,2,0052,27100,26077,148620307
2012,4,0052,25245,26223,149873311
2012,4,0053,71349,71573,440223667
2012,1,0055,5940,5990,35854426
2012,2,0055,6018,5955,35448192
2012,3,0055,5882,5912,35431791
2012,2,0064,5824,5637,29216165
2012,3,9402,28753,28023,165902358
2012,3,9404,2326,2207,12270156
2012,3,9405,3269,3093,16804095
2012,1,9406,7430,9045,51533438
2012,1,9407,2520,2935,15064255
2012,2,9407,3243,2930,15189212
2012,3,9407,3424,2957,15194793
2012,1,7612,256,262,1452061
2012,2,7612,259,262,1454913
2012,2,7614,262,245,1145404
2012,4,7614,257,278,1241427
2012,4,7616,177234,179199,1136990432
2012,1,7617,28999,30028,163352986
2012,2,7617,30760,30004,164353675
2012,1,7618,78624,79841,471725585
2012,1,7620,89941,92991,516883600
2012,2,0401,12493,12499,65585958
2012,3,0401,12465,12349,65950355
2012,2,0402,38365,38326,246020743
2012,1,0404,37037,37522,206565198
2012,4,0404,37703,37319,210577418
2012,2,1106,145412,143249,1027652163
2012,4,1106,143026,143226,1035312031
2012,1,1107,31831,32153,196023930
2012,2,1107,32134,31906,194843281
2012,4,1107,31841,31728,197336659
2012,2,1108,44575,44246,296339299
2012,3,1108,44273,44281,296647018
2012,3,1109,3037126,3048018,29467744382
2012,2,1111,15011,14888,103205464
2012,4,1112,278729,278574,2188237681
2012,3,1113,173715,173956,1515153775
2012,4,1113,174569,173863,1517314273
2012,2,1114,171649,170726,1312748806
2012,1,1115,239173,240221,2206428551
2012,2,1115,240781,238803,2235730465
2012,1,2402,49089,49543,301980674
2012,3,2402,49276,49172,301607909
2012,4,2402,48824,48861,301526085
2012,1,2403,52809,53186,345370577
2012,1,2404,10735,10843,60963498
2012,1,2405,49247,49694,281931224
2012,2,2405,49598,49401,282688686
2012,1,2406,10208,10323,69005883
2012,3,2406,10407,10258,71038539
2012,4,2406,10396,10592,71346932
2012,3,2407,20518,20467,135959097
2012,4,2407,20206,20446,135532855
2012,3,2408,10720,10665,56628418
2012,4,2408,10715,10667,56435632
2012,1,2710,24529,24728,159245441
2012,3,2710,24681,24554,158665208
2012,4,2710,24321,24282,159181144
2012,2,2712,815,817,4085809
2012,3,2713,7499,7534,40601273
2012,4,2713,7639,7625,40945599
2012,2,2717,24862,24681,153005983
2012,1,0056,9427,9622,53633698
2012,2,0056,9761,9676,53646751
2012,4,0056,9559,9561,53874108
2012,3,0059,34538,34389,206990210
2012,3,0060,33593,33450,193484564
2012,4,0060,33301,33452,194665962
2012,2,2705,45072,44654,299638953
2012,3,2705,44335,44183,297658505
2012,3,2711,24,24,167331
2012,4,2712,16538,16521,103106142
2012,2,2714,51434,51218,340333512
2012,2,2808,44630,44230,273615849
2012,1,2811,10981,11081,63729387
2012,3,2812,1058,1063,7409910
2012,4,2813,94888,95068,665326451
2012,4,7605,17246,17499,131397012
2012,2,7606,44221,43332,240685231
2012,3,7608,35144,34444,182087485
2012,1,7610,360,382,2232328
2012,3,7610,415,376,2076523
2012,1,0052,4151,4197,23251182
2012,2,0052,4387,4327,23854905
2012,4,0052,4195,4247,23613110
2012,4,0053,8074,8128,52165708
2012,2,8401,87954,87493,581094714
2012,3,8401,87957,87691,585240027
2012,4,8401,87628,87639,586402953
2012,4,8402,24784,25866,140409317
2012,2,8404,10063,10004,60961896
2012,3,8404,10106,10022,60789857
2012,4,8404,9850,9857,60957620
2012,3,8405,67619,67554,423250239
2012,4,8405,67296,67329,423610927
2012,2,8406,60096,59456,388687444
2012,1,8407,71381,71829,452191700
2012,4,8407,70960,71101,452006665
2012,1,8409,196117,194721,1439429169
2012,2,8409,195145,194366,1442536936
2012,1,8411,13794,11736,73531412
2012,3,8411,10751,11911,74189383
2012,2,8412,18310,18245,105297027
2012,3,8412,18281,18180,104965211
2012,4,8412,18048,18123,105136319
