source_system,dataset_title,organization,dataset_page,resource_title,resource_format,resource_url,year_signal,coverage_signal,access_status,content_type,content_length,classification,usable_for_mosaic,notes
arcgis_search,Persistent Waterholes Application for BPE2020 Storymaps,mdbastorymaps,https://www.arcgis.com/home/item.html?id=65f52d8ed2b049d4ada10b97efa1b1a3,Persistent Waterholes Application for BPE2020 Storymaps,Web Mapping Application,https://mdba.maps.arcgis.com/apps/webappviewer/index.html?id=65f52d8ed2b049d4ada10b97efa1b1a3,2020,,not_probed,,,candidate_unavailable_or_restricted,no,Persistent Waterholes Application for BPE 2020 Basin Creatures Storymap
direct_historical_insee,INSEE historical BPE 2020,INSEE,https://www.insee.fr/fr/statistiques/3568629,bpe20_ensemble_xy_csv.zip,zip,https://www.insee.fr/fr/statistiques/fichier/3568638/bpe20_ensemble_xy_csv.zip,2020,,not_probed,,,candidate_unavailable_or_restricted,no,historical URL from old scripts and documentation
data_gouv,BPE 76 Services Commerce 2020,Département de la Seine-Maritime,https://www.data.gouv.fr/datasets/bpe-76-services-commerce-2020,ArcGIS GeoService,arcgis geoservices rest api,https://services-eu1.arcgis.com/Nt9PzCzX9tz2k5Lq/arcgis/rest/services/BPE_76_equip_serv_commerce_com_2020/FeatureServer/0,2020,departmental,not_probed,,,departmental_mosaic_candidate_needs_probe,maybe,discovered via data.gouv search
data_gouv,BPE 76 Services Commerce 2020,Département de la Seine-Maritime,https://www.data.gouv.fr/datasets/bpe-76-services-commerce-2020,ArcGIS Hub Dataset,web page,https://www.opendata76.fr/maps/seine-maritime::bpe-76-services-commerce-2020,2020,departmental,not_probed,,,departmental_mosaic_candidate_needs_probe,maybe,discovered via data.gouv search
data_gouv,BPE 76 Services Commerce 2020,Département de la Seine-Maritime,https://www.data.gouv.fr/datasets/bpe-76-services-commerce-2020,ArcGIS Hub Dataset,web page,https://www.opendata76.fr/datasets/seine-maritime::bpe-76-services-commerce-2020,2020,departmental,not_probed,,,departmental_mosaic_candidate_needs_probe,maybe,discovered via data.gouv search
data_gouv,BPE 76 Services Commerce 2020,Département de la Seine-Maritime,https://www.data.gouv.fr/datasets/bpe-76-services-commerce-2020,CSV,csv,https://www.opendata76.fr/datasets/seine-maritime::bpe-76-services-commerce-2020.csv?outSR=%7B%22latestWkid%22%3A3857%2C%22wkid%22%3A102100%7D,2020,departmental,not_probed,,,departmental_mosaic_candidate_needs_probe,maybe,discovered via data.gouv search
data_gouv,BPE 76 Services Commerce 2020,Département de la Seine-Maritime,https://www.data.gouv.fr/datasets/bpe-76-services-commerce-2020,CSV,csv,https://www.opendata76.fr/datasets/seine-maritime::bpe-76-services-commerce-2020.csv?where=1=1&outSR=%7B%22latestWkid%22%3A3857%2C%22wkid%22%3A102100%7D,2020,departmental,not_probed,,,departmental_mosaic_candidate_needs_probe,maybe,discovered via data.gouv search
data_gouv,BPE 76 Services Commerce 2020,Département de la Seine-Maritime,https://www.data.gouv.fr/datasets/bpe-76-services-commerce-2020,CSV,csv,https://www.opendata76.fr/api/download/v1/items/880668448b96485e802121cf67de5ac7/csv?layers=0,2020,departmental,not_probed,,,departmental_mosaic_candidate_needs_probe,maybe,discovered via data.gouv search
data_gouv,BPE 76 Services Commerce 2020,Département de la Seine-Maritime,https://www.data.gouv.fr/datasets/bpe-76-services-commerce-2020,Excel,xlsx,https://www.opendata76.fr/api/download/v1/items/880668448b96485e802121cf67de5ac7/excel?layers=0,2020,departmental,not_probed,,,departmental_mosaic_candidate_needs_probe,maybe,discovered via data.gouv search
data_gouv,BPE 76 Services Commerce 2020,Département de la Seine-Maritime,https://www.data.gouv.fr/datasets/bpe-76-services-commerce-2020,Feature Collection,txt,https://www.opendata76.fr/api/download/v1/items/880668448b96485e802121cf67de5ac7/featureCollection?layers=0,2020,departmental,not_probed,,,departmental_mosaic_candidate_needs_probe,maybe,discovered via data.gouv search
data_gouv,BPE 76 Services Commerce 2020,Département de la Seine-Maritime,https://www.data.gouv.fr/datasets/bpe-76-services-commerce-2020,File Geodatabase,zip,https://www.opendata76.fr/api/download/v1/items/880668448b96485e802121cf67de5ac7/filegdb?layers=0,2020,departmental,not_probed,,,departmental_mosaic_candidate_needs_probe,maybe,discovered via data.gouv search
data_gouv,BPE 76 Services Commerce 2020,Département de la Seine-Maritime,https://www.data.gouv.fr/datasets/bpe-76-services-commerce-2020,GeoJSON,geojson,https://www.opendata76.fr/datasets/seine-maritime::bpe-76-services-commerce-2020.geojson?outSR=%7B%22latestWkid%22%3A3857%2C%22wkid%22%3A102100%7D,2020,departmental,not_probed,,,departmental_mosaic_candidate_needs_probe,maybe,discovered via data.gouv search
data_gouv,BPE 76 Services Commerce 2020,Département de la Seine-Maritime,https://www.data.gouv.fr/datasets/bpe-76-services-commerce-2020,GeoJSON,geojson,https://www.opendata76.fr/datasets/seine-maritime::bpe-76-services-commerce-2020.geojson?where=1=1&outSR=%7B%22latestWkid%22%3A3857%2C%22wkid%22%3A102100%7D,2020,departmental,not_probed,,,departmental_mosaic_candidate_needs_probe,maybe,discovered via data.gouv search
data_gouv,BPE 76 Services Commerce 2020,Département de la Seine-Maritime,https://www.data.gouv.fr/datasets/bpe-76-services-commerce-2020,GeoJSON,geojson,https://www.opendata76.fr/api/download/v1/items/880668448b96485e802121cf67de5ac7/geojson?layers=0,2020,departmental,not_probed,,,departmental_mosaic_candidate_needs_probe,maybe,discovered via data.gouv search
data_gouv,BPE 76 Services Commerce 2020,Département de la Seine-Maritime,https://www.data.gouv.fr/datasets/bpe-76-services-commerce-2020,GeoPackage,gpkg,https://www.opendata76.fr/api/download/v1/items/880668448b96485e802121cf67de5ac7/geoPackage?layers=0,2020,departmental,not_probed,,,departmental_mosaic_candidate_needs_probe,maybe,discovered via data.gouv search
