feature_name,role,registry_years,observed_years_core,observed_year_count_core,first_observed_year_core,last_observed_year_core,train_observed_count_tensor,missing_rate_tensor,coverage_by_year_core,can_extend_supervised_years_alone,notes
side_creations_et_total,target_history_lag,"2019,2020,2021,2022,2023","2019,2020,2021,2022,2023",5,2019,2023,840,0.0,"{""2019"": 280, ""2020"": 280, ""2021"": 280, ""2022"": 280, ""2023"": 280, ""2024"": 0}",True,target history lag; valid for t->t+1 if timing is explicit; not an independent external covariate
side_stocks_et_total,economic_stock,"2019,2020,2021,2023","2019,2020,2021,2023",4,2019,2023,840,0.2,"{""2019"": 280, ""2020"": 280, ""2021"": 280, ""2022"": 0, ""2023"": 280, ""2024"": 0}",False,usable in current rich annual package
side_stocks_ul_total,economic_stock,"2019,2020,2021,2023","2019,2020,2021,2023",4,2019,2023,840,0.2,"{""2019"": 280, ""2020"": 280, ""2021"": 280, ""2022"": 0, ""2023"": 280, ""2024"": 0}",False,usable in current rich annual package
bpe_facilities_per_1000_pop,services,"2021,2023,2024","2021,2023,2024",3,2021,2024,280,0.6,"{""2019"": 0, ""2020"": 0, ""2021"": 280, ""2022"": 0, ""2023"": 280, ""2024"": 280}",False,useful depth but does not extend the current feature window backward
bpe_facilities_total,services,"2021,2023,2024","2021,2023,2024",3,2021,2024,280,0.6,"{""2019"": 0, ""2020"": 0, ""2021"": 280, ""2022"": 0, ""2023"": 280, ""2024"": 280}",False,useful depth but does not extend the current feature window backward
flores_et_total,employment_establishment_stock,"2019,2020,2021","2019,2020,2021",3,2019,2021,840,0.4,"{""2019"": 280, ""2020"": 280, ""2021"": 280, ""2022"": 0, ""2023"": 0, ""2024"": 0}",False,usable in current rich annual package
active_lr_total,labour,"2021,2022","2021,2022",2,2021,2022,280,0.6,"{""2019"": 0, ""2020"": 0, ""2021"": 280, ""2022"": 280, ""2023"": 0, ""2024"": 0}",False,too sparse for long supervised history without more source years
bpe_evolution_commune_type_presence_total,services,"2019,2024","2019,2024",2,2019,2024,280,0.8,"{""2019"": 280, ""2020"": 0, ""2021"": 0, ""2022"": 0, ""2023"": 0, ""2024"": 280}",False,too sparse for long supervised history without more source years
employed_lr_total,labour,"2021,2022","2021,2022",2,2021,2022,280,0.6,"{""2019"": 0, ""2020"": 0, ""2021"": 280, ""2022"": 280, ""2023"": 0, ""2024"": 0}",False,too sparse for long supervised history without more source years
filosofi_s_dir_tax_di_weighted_proxy,income,"2020,2021","2020,2021",2,2020,2021,560,0.6,"{""2019"": 0, ""2020"": 280, ""2021"": 280, ""2022"": 0, ""2023"": 0, ""2024"": 0}",False,too sparse for long supervised history without more source years
filosofi_s_hh_tax_weighted_proxy,income,"2020,2021","2020,2021",2,2020,2021,560,0.6,"{""2019"": 0, ""2020"": 280, ""2021"": 280, ""2022"": 0, ""2023"": 0, ""2024"": 0}",False,too sparse for long supervised history without more source years
jobs_lt_per_1000_pop,labour,"2021,2022","2021,2022",2,2021,2022,280,0.6,"{""2019"": 0, ""2020"": 0, ""2021"": 280, ""2022"": 280, ""2023"": 0, ""2024"": 0}",False,too sparse for long supervised history without more source years
jobs_lt_total,labour,"2021,2022","2021,2022",2,2021,2022,280,0.6,"{""2019"": 0, ""2020"": 0, ""2021"": 280, ""2022"": 280, ""2023"": 0, ""2024"": 0}",False,too sparse for long supervised history without more source years
population_total,population,"2021,2022","2021,2022",2,2021,2022,280,0.6,"{""2019"": 0, ""2020"": 0, ""2021"": 280, ""2022"": 280, ""2023"": 0, ""2024"": 0}",False,too sparse for long supervised history without more source years
side_stocks_et_per_1000_pop,economic_stock,"2021,2023","2021,2023",2,2021,2023,280,0.6,"{""2019"": 0, ""2020"": 0, ""2021"": 280, ""2022"": 0, ""2023"": 280, ""2024"": 0}",False,too sparse for long supervised history without more source years
unemployed_lr_total,labour,"2021,2022","2021,2022",2,2021,2022,280,0.6,"{""2019"": 0, ""2020"": 0, ""2021"": 280, ""2022"": 280, ""2023"": 0, ""2024"": 0}",False,too sparse for long supervised history without more source years
unemployment_rate_est,labour,"2021,2022","2021,2022",2,2021,2022,280,0.6,"{""2019"": 0, ""2020"": 0, ""2021"": 280, ""2022"": 280, ""2023"": 0, ""2024"": 0}",False,too sparse for long supervised history without more source years
flores_presential_unit_loc_total,employment_establishment_stock,2024,2024,1,2024,2024,0,1.0,"{""2019"": 0, ""2020"": 0, ""2021"": 0, ""2022"": 0, ""2023"": 0, ""2024"": 280}",False,too sparse for long supervised history without more source years
flores_productive_unit_loc_total,employment_establishment_stock,2024,2024,1,2024,2024,0,1.0,"{""2019"": 0, ""2020"": 0, ""2021"": 0, ""2022"": 0, ""2023"": 0, ""2024"": 280}",False,too sparse for long supervised history without more source years
