path,kind,size_bytes,classification,evidence,columns,years,members,error
data/interim/tables/bpe_commune_2021.csv,table,582379,bpe_related_year_unclear,"BPE/equipment-related name or columns, but no confirmed 2020 observations.","[""codgeo"", ""ze2020"", ""bpe_facilities_2021_total""]",[],,
data/interim/tables/bpe_commune_2023.csv,table,584677,bpe_related_year_unclear,"BPE/equipment-related name or columns, but no confirmed 2020 observations.","[""codgeo"", ""ze2020"", ""bpe_facilities_2023_total""]",[],,
data/interim/tables/bpe_commune_2024.csv,table,515261,bpe_related_year_unclear,"BPE/equipment-related name or columns, but no confirmed 2020 observations.","[""codgeo"", ""ze2020"", ""bpe_facilities_2024_total""]",[],,
data/interim/tables/bpe_evolution_commune_2019_2024_geo2025.csv,table,6312991,bpe_related_year_unclear,"BPE/equipment-related name or columns, but no confirmed 2020 observations.","[""codgeo"", ""ze2020"", ""year"", ""bpe_evolution_presence_type_count"", ""source_geography_year"", ""measure_definition""]","[""2019"", ""2024""]",,
data/processed/bpe_evolution_ze2020_core_v0.csv,table,50345,bpe_2020_related_not_observation_data,Mentions BPE 2020 but lacks required observation columns.,"[""ze2020"", ""libze2020"", ""reg"", ""year"", ""bpe_evolution_commune_type_presence_total"", ""bpe_evolution_communes_observed"", ""bpe_evolution_facility_types_observed"", ""source_geography_year"", ""comparability_status""]","[""2019"", ""2024""]",,
data/raw/temporal_depth/bpe/BPE20_table_passage.csv,table,17324,documentation_or_nomenclature_only,TYPEQU/LIB_EQUIP mapping only; no DEPCOM observations.,"[""TYPEQU"", ""LIB_EQUIP"", ""SDOM"", ""LIB_SDOM"", ""DOM"", ""LIB_DOM""]",[],,
data/raw/temporal_depth/bpe/BPE23.zip,zip,147483044,bpe_data_wrong_year_or_not_2020,"BPE archive, but 2023 evidence.",,,"[""BPE23.csv""]",
data/raw/temporal_depth/bpe/BPE24.zip,zip,165084933,bpe_data_wrong_year_or_not_2020,"BPE archive, but 2024 evidence.",,,"[""BPE24.csv""]",
data/raw/temporal_depth/bpe/DS_BPE_2023_CSV_FR.zip,zip,13334421,bpe_data_wrong_year_or_not_2020,"BPE archive, but 2023 evidence.",,,"[""bpe23-nettoye.prj"", ""bpe23-nettoye.cpg"", ""bpe23-nettoye.dbf"", ""bpe23-nettoye.shp"", ""bpe23-nettoye.shx""]",
data/raw/temporal_depth/bpe/DS_BPE_2023_CSV_FR__root_duplicate.zip,zip,13448177,bpe_data_wrong_year_or_not_2020,"BPE archive, but 2024 evidence.",,,"[""DS_BPE_2024_metadata.csv"", ""DS_BPE_2024_data.csv""]",
