action,source,destination,notes
kept_root,.codex,,root file intentionally kept
kept_root,.gitignore,,root file intentionally kept
moved,BPE15_20_Liste_equipements_insee-fr.pdf,data/raw/temporal_depth/bpe/docs/BPE15_20_Liste_equipements_insee-fr.pdf,organized root raw download
moved,BPE15_20_Precautions_utilisation_insee-fr.pdf,data/raw/temporal_depth/bpe/docs/BPE15_20_Precautions_utilisation_insee-fr.pdf,organized root raw download
removed_duplicate,BPE20_Liste_equipements_insee-fr (1).pdf,BPE20_Liste_equipements_insee-fr.pdf,byte-identical duplicate of preferred root file
removed_duplicate,BPE20_Liste_equipements_insee-fr (2).pdf,BPE20_Liste_equipements_insee-fr.pdf,byte-identical duplicate of preferred root file
moved,BPE20_Liste_equipements_insee-fr.pdf,data/raw/temporal_depth/bpe/docs/BPE20_Liste_equipements_insee-fr.pdf,organized root raw download
removed_duplicate,BPE20_table_passage.csv,data/raw/temporal_depth/bpe/BPE20_table_passage.csv,destination already had identical bytes
moved,BPE23-full.csv,data/raw/temporal_depth/bpe/extracted_cache/BPE23-full.csv,organized root raw download
moved,BPE23.csv,data/raw/temporal_depth/bpe/extracted_cache/BPE23.csv,organized root raw download
moved,BPE24.parquet,data/raw/temporal_depth/bpe/parquet_cache/BPE24.parquet,organized root raw download
moved,BPE24.zip,data/raw/temporal_depth/bpe/BPE24.zip,organized root raw download
moved,BPE_evol_1924_description_sources.html,data/raw/temporal_depth/bpe/docs/BPE_evol_1924_description_sources.html,organized root raw download
moved,BPE_evol_1924_liste_a_plat_TYPEQU.html,data/raw/temporal_depth/bpe/docs/BPE_evol_1924_liste_a_plat_TYPEQU.html,organized root raw download
moved,BPE_evol_1924_precautions_utilisation_TYPEQU.html,data/raw/temporal_depth/bpe/docs/BPE_evol_1924_precautions_utilisation_TYPEQU.html,organized root raw download
moved,CATALOGO_INSEE_DATASETS.md,metadata/CATALOGO_INSEE_DATASETS.md,organized root raw download
moved_name_collision,DS_BPE_2023_CSV_FR.zip,data/raw/temporal_depth/bpe/DS_BPE_2023_CSV_FR__root_duplicate.zip,same target name existed with different bytes
moved,DS_BPE_2024_CSV_FR.zip,data/raw/temporal_depth/bpe/DS_BPE_2024_CSV_FR.zip,organized root raw download
moved,DS_BPE_EDUCATION_2024_CSV_FR.zip,data/raw/temporal_depth/bpe/DS_BPE_EDUCATION_2024_CSV_FR.zip,organized root raw download
moved,DS_BPE_EVOLUTION_2024_CSV_FR.zip,data/raw/temporal_depth/bpe/DS_BPE_EVOLUTION_2024_CSV_FR.zip,organized root raw download
moved,DS_BPE_EVOLUTION_CSV_FR.zip,data/raw/temporal_depth/bpe/DS_BPE_EVOLUTION_CSV_FR.zip,organized root raw download
moved,DS_BPE_SPORT_CULTURE_2024_CSV_FR.zip,data/raw/temporal_depth/bpe/DS_BPE_SPORT_CULTURE_2024_CSV_FR.zip,organized root raw download
moved,DS_BTS_SAL_EQTP_SEX_AGE_2023_CSV_FR.zip,data/raw/wages/bts/DS_BTS_SAL_EQTP_SEX_AGE_2023_CSV_FR.zip,organized root raw download
moved,DS_BTS_SAL_EQTP_SEX_PCS_2023_CSV_FR.zip,data/raw/wages/bts/DS_BTS_SAL_EQTP_SEX_PCS_2023_CSV_FR.zip,organized root raw download
moved,DS_FILOSOFI_AGE_TP_NIVVIE_2021_CSV_FR.zip,data/raw/income/filosofi/DS_FILOSOFI_AGE_TP_NIVVIE_2021_CSV_FR.zip,organized root raw download
removed_duplicate,DS_FILOSOFI_CC_2021_CSV_FR (1).zip,DS_FILOSOFI_CC_2021_CSV_FR.zip,byte-identical duplicate of preferred root file
moved,DS_FILOSOFI_CC_2021_CSV_FR.zip,data/raw/income/filosofi/DS_FILOSOFI_CC_2021_CSV_FR.zip,organized root raw download
moved,DS_FILOSOFI_LOG_TP_NIVVIE_2021_CSV_FR.zip,data/raw/income/filosofi/DS_FILOSOFI_LOG_TP_NIVVIE_2021_CSV_FR.zip,organized root raw download
moved,DS_FILOSOFI_MEN_TP_NIVVIE_2021_CSV_FR.zip,data/raw/income/filosofi/DS_FILOSOFI_MEN_TP_NIVVIE_2021_CSV_FR.zip,organized root raw download
moved,DS_FLORES_2022_CSV_FR.zip,data/raw/employment/flores/DS_FLORES_2022_CSV_FR.zip,organized root raw download
moved,DS_FLORES_2023_CSV_FR.zip,data/raw/employment/flores/DS_FLORES_2023_CSV_FR.zip,organized root raw download
removed_duplicate,DS_FLORES_A17_2024_CSV_FR (1).zip,DS_FLORES_A17_2024_CSV_FR.zip,byte-identical duplicate of preferred root file
moved,DS_FLORES_A17_2024_CSV_FR.zip,data/raw/employment/flores/DS_FLORES_A17_2024_CSV_FR.zip,organized root raw download
moved,DS_FLORES_A38_2024_CSV_FR.zip,data/raw/employment/flores/DS_FLORES_A38_2024_CSV_FR.zip,organized root raw download
moved,DS_FLORES_A5_2024_CSV_FR.zip,data/raw/employment/flores/DS_FLORES_A5_2024_CSV_FR.zip,organized root raw download
moved,DS_FLORES_A88_2024_CSV_FR.zip,data/raw/employment/flores/DS_FLORES_A88_2024_CSV_FR.zip,organized root raw download
removed_duplicate,DS_FLORES_ECONOMIC_SPHERE_2024_CSV_FR (1).zip,DS_FLORES_ECONOMIC_SPHERE_2024_CSV_FR.zip,byte-identical duplicate of preferred root file
moved,DS_FLORES_ECONOMIC_SPHERE_2024_CSV_FR.zip,data/raw/employment/flores/DS_FLORES_ECONOMIC_SPHERE_2024_CSV_FR.zip,organized root raw download
moved,DS_FLORES_PE_2024_CSV_FR.zip,data/raw/employment/flores/DS_FLORES_PE_2024_CSV_FR.zip,organized root raw download
moved,DS_POPULATIONS_HISTORIQUES_CSV_FR.zip,data/raw/population/DS_POPULATIONS_HISTORIQUES_CSV_FR.zip,organized root raw download
moved,DS_POPULATIONS_REFERENCE_2023_CSV_FR.zip,data/raw/population/DS_POPULATIONS_REFERENCE_2023_CSV_FR.zip,organized root raw download
moved,DS_RP_ACTIVITE_PRINC_2022_CSV_FR.zip,data/raw/census/rp_2022/DS_RP_ACTIVITE_PRINC_2022_CSV_FR.zip,organized root raw download
moved,DS_RP_DIPLOMES_PRINC_2022_CSV_FR.zip,data/raw/census/rp_2022/DS_RP_DIPLOMES_PRINC_2022_CSV_FR.zip,organized root raw download
moved,DS_RP_EDUCATION_2022_CSV_FR.zip,data/raw/census/rp_2022/DS_RP_EDUCATION_2022_CSV_FR.zip,organized root raw download
moved,DS_RP_EMPLOI_LR_COMP_2022_CSV_FR.zip,data/raw/census/rp_2022/DS_RP_EMPLOI_LR_COMP_2022_CSV_FR.zip,organized root raw download
moved,DS_RP_EMPLOI_LR_PRINC_2022_CSV_FR.zip,data/raw/census/rp_2022/DS_RP_EMPLOI_LR_PRINC_2022_CSV_FR.zip,organized root raw download
moved,DS_RP_EMPLOI_LT_COMP_2022_CSV_FR.zip,data/raw/census/rp_2022/DS_RP_EMPLOI_LT_COMP_2022_CSV_FR.zip,organized root raw download
removed_duplicate,DS_RP_EMPLOI_LT_PRINC_2022_CSV_FR (1).zip,DS_RP_EMPLOI_LT_PRINC_2022_CSV_FR.zip,byte-identical duplicate of preferred root file
moved,DS_RP_EMPLOI_LT_PRINC_2022_CSV_FR.zip,data/raw/census/rp_2022/DS_RP_EMPLOI_LT_PRINC_2022_CSV_FR.zip,organized root raw download
moved,DS_RP_FAMILLE_COMP_2022_CSV_FR.zip,data/raw/census/rp_2022/DS_RP_FAMILLE_COMP_2022_CSV_FR.zip,organized root raw download
moved,DS_RP_LOGEMENT_COMPL_2022_CSV_FR.zip,data/raw/census/rp_2022/DS_RP_LOGEMENT_COMPL_2022_CSV_FR.zip,organized root raw download
moved,DS_RP_LOGEMENT_PRINC_2022_CSV_FR.zip,data/raw/census/rp_2022/DS_RP_LOGEMENT_PRINC_2022_CSV_FR.zip,organized root raw download
moved,DS_RP_MENAGES_COMP_2022_CSV_FR.zip,data/raw/census/rp_2022/DS_RP_MENAGES_COMP_2022_CSV_FR.zip,organized root raw download
moved,DS_RP_MENAGES_PRINC_2022_CSV_FR.zip,data/raw/census/rp_2022/DS_RP_MENAGES_PRINC_2022_CSV_FR.zip,organized root raw download
moved,DS_RP_MIGRES_PRINC_2022_CSV_FR.zip,data/raw/census/rp_2022/DS_RP_MIGRES_PRINC_2022_CSV_FR.zip,organized root raw download
moved,DS_RP_NAVETTES_PRINC_2022_CSV_FR.zip,data/raw/census/rp_2022/DS_RP_NAVETTES_PRINC_2022_CSV_FR.zip,organized root raw download
moved,DS_RP_POPULATION_COMP_2022_CSV_FR.zip,data/raw/census/rp_2022/DS_RP_POPULATION_COMP_2022_CSV_FR.zip,organized root raw download
moved,DS_RP_POPULATION_PRINC_2022_CSV_FR.zip,data/raw/census/rp_2022/DS_RP_POPULATION_PRINC_2022_CSV_FR.zip,organized root raw download
moved,DS_RP_SERIE_HISTORIQUE_2022_CSV_FR.zip,data/raw/census/rp_2022/DS_RP_SERIE_HISTORIQUE_2022_CSV_FR.zip,organized root raw download
moved,DS_SIDE_CREA_DEP_REG_NAT_2024_CSV_FR.zip,data/raw/business_demography/side/DS_SIDE_CREA_DEP_REG_NAT_2024_CSV_FR.zip,organized root raw download
moved,DS_SIDE_CREA_EI_2024_CSV_FR.zip,data/raw/business_demography/side/DS_SIDE_CREA_EI_2024_CSV_FR.zip,organized root raw download
removed_duplicate,DS_SIDE_CREA_ENT_COM_2024_CSV.zip,DS_SIDE_CREA_ENT_COM_2024_CSV_FR.zip,byte-identical duplicate of preferred root file
moved,DS_SIDE_CREA_ENT_COM_2024_CSV_FR.zip,data/raw/business_demography/side/DS_SIDE_CREA_ENT_COM_2024_CSV_FR.zip,organized root raw download
moved,DS_SIDE_CREA_ENT_DEP_REG_NAT_CJ_2024_CSV_FR.zip,data/raw/business_demography/side/DS_SIDE_CREA_ENT_DEP_REG_NAT_CJ_2024_CSV_FR.zip,organized root raw download
moved,DS_SIDE_CREA_ENT_SERIES_CSV_FR.zip,data/raw/business_demography/side/DS_SIDE_CREA_ENT_SERIES_CSV_FR.zip,organized root raw download
removed_duplicate,DS_SIDE_CREA_ETAB_COM_2024_CSV.zip,DS_SIDE_CREA_ETAB_COM_2024_CSV_FR.zip,byte-identical duplicate of preferred root file
moved,DS_SIDE_CREA_ETAB_COM_2024_CSV_FR.zip,data/raw/business_demography/side/DS_SIDE_CREA_ETAB_COM_2024_CSV_FR.zip,organized root raw download
moved,DS_SIDE_EQDEMO_A10_2022_CSV_FR.zip,data/raw/business_demography/side/DS_SIDE_EQDEMO_A10_2022_CSV_FR.zip,organized root raw download
moved,DS_SIDE_EQDEMO_A10_CSV.zip,data/raw/business_demography/side/DS_SIDE_EQDEMO_A10_CSV.zip,organized root raw download
moved,DS_SIDE_EQDEMO_A21_2022_CSV_FR.zip,data/raw/business_demography/side/DS_SIDE_EQDEMO_A21_2022_CSV_FR.zip,organized root raw download
moved,DS_SIDE_EQDEMO_A21_CSV.zip,data/raw/business_demography/side/DS_SIDE_EQDEMO_A21_CSV.zip,organized root raw download
moved,DS_SIDE_STOCKS_A21.zip,data/raw/business_demography/side/DS_SIDE_STOCKS_A21.zip,organized root raw download
moved,DS_SIDE_STOCKS_A21_2023_CSV.zip,data/raw/business_demography/side/DS_SIDE_STOCKS_A21_2023_CSV.zip,organized root raw download
moved,DS_SIDE_STOCKS_A21_2023_CSV_FR.zip,data/raw/business_demography/side/DS_SIDE_STOCKS_A21_2023_CSV_FR.zip,organized root raw download
moved,DS_SIDE_STOCKS_EI.zip,data/raw/business_demography/side/DS_SIDE_STOCKS_EI.zip,organized root raw download
moved,DS_SIDE_STOCKS_EI_2023_CSV.zip,data/raw/business_demography/side/DS_SIDE_STOCKS_EI_2023_CSV.zip,organized root raw download
moved,DS_SIDE_STOCKS_EI_2023_CSV_FR.zip,data/raw/business_demography/side/DS_SIDE_STOCKS_EI_2023_CSV_FR.zip,organized root raw download
moved,DS_SIDE_STOCKS_ET_COM.zip,data/raw/business_demography/side/DS_SIDE_STOCKS_ET_COM.zip,organized root raw download
moved,DS_SIDE_STOCKS_ET_COM_2022_CSV.zip,data/raw/business_demography/side/DS_SIDE_STOCKS_ET_COM_2022_CSV.zip,organized root raw download
moved,DS_SIDE_STOCKS_ET_COM_2023_CSV.zip,data/raw/business_demography/side/DS_SIDE_STOCKS_ET_COM_2023_CSV.zip,organized root raw download
moved,DS_SIDE_STOCKS_UL_COM.zip,data/raw/business_demography/side/DS_SIDE_STOCKS_UL_COM.zip,organized root raw download
moved,DS_SIDE_STOCKS_UL_COM_2023_CSV.zip,data/raw/business_demography/side/DS_SIDE_STOCKS_UL_COM_2023_CSV.zip,organized root raw download
