fold_validation_year,test_target_year,ze2020,libze2020,size_group,volatility_group,y_true,y_lag_0,abs_error_persistence,abs_error_ridge,abs_error_segmented,ridge_minus_persistence_abs_error,segmented_minus_persistence_abs_error
2020,2021,1109,Paris,large,high_vol,195536.0,182052.0,13484.0,1848.872471683164,13484.0,-11635.127528316836,0.0
2020,2021,9312,Marseille,large,high_vol,31253.0,23394.0,7859.0,5803.414587710809,7859.0,-2055.5854122891906,0.0
2020,2021,7505,Bordeaux,large,high_vol,27996.0,23080.0,4916.0,3690.0082023590367,4916.0,-1225.9917976409633,0.0
2020,2021,7625,Toulouse,large,high_vol,27686.0,24281.0,3405.0,944.6021666573797,3405.0,-2460.3978333426203,0.0
2020,2021,8421,Lyon,large,high_vol,42491.0,39178.0,3313.0,707.3792452429334,3313.0,-2605.6207547570666,0.0
2020,2021,5216,Nantes,large,high_vol,17292.0,14107.0,3185.0,2163.7099981010433,3185.0,-1021.2900018989567,0.0
2020,2021,9315,Nice,large,mid_low_vol,16587.0,13614.0,2973.0,1974.7598304473886,1974.7598304473886,-998.2401695526114,-998.2401695526114
2020,2021,3216,Lille,large,high_vol,17908.0,15067.0,2841.0,1661.2266761612755,2841.0,-1179.7733238387245,0.0
2020,2021,7616,Montpellier,large,high_vol,18605.0,15781.0,2824.0,1794.518720430242,2824.0,-1029.481279569758,0.0
2020,2021,4423,Strasbourg,large,high_vol,12712.0,10440.0,2272.0,1722.0022054175352,2272.0,-549.9977945824648,0.0
2021,2022,1109,Paris,large,high_vol,202584.0,195536.0,7048.0,22043.8702978348,22043.8702978348,14995.870297834801,14995.870297834801
2021,2022,7625,Toulouse,large,high_vol,26019.0,27686.0,1667.0,4622.8217478640145,4622.8217478640145,2955.8217478640145,2955.8217478640145
2021,2022,9312,Marseille,large,high_vol,32743.0,31253.0,1490.0,530.7082202557576,530.7082202557576,-959.2917797442424,-959.2917797442424
2021,2022,9315,Nice,large,mid_low_vol,17562.0,16587.0,975.0,411.3027507839579,411.3027507839579,-563.6972492160421,-563.6972492160421
2021,2022,3216,Lille,large,high_vol,17228.0,17908.0,680.0,2323.198016804359,2323.198016804359,1643.1980168043592,1643.1980168043592
2021,2022,9304,Cannes,large,mid_low_vol,12645.0,11990.0,655.0,372.70358001759087,372.70358001759087,-282.29641998240913,-282.29641998240913
2021,2022,5216,Nantes,large,high_vol,16639.0,17292.0,653.0,2175.6471775763093,2175.6471775763093,1522.6471775763093,1522.6471775763093
2021,2022,3218,Roubaix-Tourcoing,large,high_vol,6175.0,6734.0,559.0,1062.365883229053,1062.365883229053,503.365883229053,503.365883229053
2021,2022,4415,Romilly-sur-Seine,small,mid_high_vol,1484.0,926.0,558.0,512.8361708674472,536.96875,-45.16382913255279,-21.03125
2021,2022,7616,Montpellier,large,high_vol,18066.0,18605.0,539.0,2379.278811559503,2379.278811559503,1840.278811559503,1840.278811559503
2022,2023,1109,Paris,large,high_vol,207701.0,202584.0,5117.0,9414.852405970712,5117.0,4297.852405970712,0.0
2022,2023,9312,Marseille,large,high_vol,27883.0,32743.0,4860.0,8952.996865737747,4860.0,4092.9968657377467,0.0
2022,2023,8421,Lyon,large,high_vol,40654.0,42303.0,1649.0,4640.77346653711,1649.0,2991.77346653711,0.0
2022,2023,9315,Nice,large,mid_high_vol,16201.0,17562.0,1361.0,2973.941389377331,1361.0,1612.9413893773308,0.0
2022,2023,4423,Strasbourg,large,high_vol,11435.0,12452.0,1017.0,2387.7376850624914,1017.0,1370.7376850624914,0.0
2022,2023,7505,Bordeaux,large,high_vol,26580.0,27507.0,927.0,3814.6911765684163,927.0,2887.6911765684163,0.0
2022,2023,5216,Nantes,large,high_vol,15978.0,16639.0,661.0,2405.2100731548817,661.0,1744.2100731548817,0.0
2022,2023,4412,Nancy,large,mid_high_vol,7660.0,7045.0,615.0,147.4200223578173,615.0,-467.5799776421827,0.0
2022,2023,1106,Marne-la-Vallée,large,high_vol,10141.0,9548.0,593.0,219.44259883236737,593.0,-373.55740116763263,0.0
2022,2023,9304,Cannes,large,low_vol,12063.0,12645.0,582.0,1573.8948469699953,1573.8948469699953,991.8948469699953,991.8948469699953
2023,2024,1109,Paris,large,high_vol,227043.0,207701.0,19342.0,1371.013138915092,19342.0,-17970.986861084908,0.0
2023,2024,7505,Bordeaux,large,high_vol,30990.0,26580.0,4410.0,1683.2912984853792,4410.0,-2726.7087015146208,0.0
2023,2024,8421,Lyon,large,high_vol,45036.0,40654.0,4382.0,60.04231574180449,4382.0,-4321.9576842581955,0.0
2023,2024,7625,Toulouse,large,high_vol,30108.0,25940.0,4168.0,2175.2050233445734,4168.0,-1992.7949766554266,0.0
2023,2024,9312,Marseille,large,high_vol,29863.0,27883.0,1980.0,2654.04189360284,1980.0,674.04189360284,0.0
2023,2024,1112,Roissy,large,high_vol,21338.0,19391.0,1947.0,388.9568621383187,1947.0,-1558.0431378616813,0.0
2023,2024,7616,Montpellier,large,mid_high_vol,20050.0,18193.0,1857.0,519.9790709302833,1857.0,-1337.0209290697167,0.0
2023,2024,3216,Lille,large,high_vol,18718.0,16913.0,1805.0,390.40127918211874,1805.0,-1414.5987208178813,0.0
2023,2024,7620,Perpignan,large,low_vol,10265.0,8679.0,1586.0,720.9949743900615,1586.0,-865.0050256099385,0.0
2023,2024,9318,Toulon,large,mid_low_vol,12846.0,11317.0,1529.0,525.0746402619206,1529.0,-1003.9253597380794,0.0
