source_family,local_datasets_present,local_years_present,project_role,official_search_anchor,where_to_look,priority,notes
territorial_reference,"ZE2020_au_01-01-2026; fonds_ze2020_2026; cog_ensemble_2026; table-appartenance-geo-communes-2020","2020;2026","mapping; graph; harmonization","INSEE zonages d'etudes / COG","https://www.insee.fr/fr/information/2114819 ; https://www.insee.fr/fr/information/6800675","high","Base territoriale canonique pour commune -> ZE2020 et futur graphe."
population_census,"DS_RP_POPULATION_PRINC_2022; DS_RP_EMPLOI_LR_COMP_2022; DS_RP_EMPLOI_LT_PRINC_2022; DS_RP_NAVETTES_PRINC_2022; DS_RP_DIPLOMES_PRINC_2022","2022","population; labour; mobility; education","Catalogue INSEE / Melodi datasets DS_RP_*","https://catalogue-donnees.insee.fr/fr/catalogue/recherche ; https://api.insee.fr/melodi/data","high","Buscar anos oficiais anteriores e posteriores disponiveis para construir painel comparavel."
income_poverty,"DS_FILOSOFI_CC_2021","2021","income; deprivation","Catalogue INSEE / Melodi DS_FILOSOFI_*","https://catalogue-donnees.insee.fr/fr/catalogue/recherche ; https://api.insee.fr/melodi/data/DS_FILOSOFI_CC_2021","high","Fonte defasada e com cobertura limitada para Mayotte; ampliar anos disponiveis e documentar ultimo ano oficial."
accessibility_services,"DS_BPE_2024; DS_BPE_EVOLUTION_2024; ds_bpe_evolution_com_2019_2024_geo_2025","2019;2024","services; amenities; harmonized presence/absence","Catalogue INSEE / Melodi DS_BPE_*","https://catalogue-donnees.insee.fr/fr/catalogue/recherche ; https://api.insee.fr/melodi/data/DS_BPE_2024 ; https://www.insee.fr/fr/statistiques/8217532","high","BPE evolution 2019-2024 is the official comparable layer now integrated. Raw old BPE vintages are not treated as comparable; INSEE indicated a planned 2015-2025 count/presence table for July 2026."
employment_establishments,"DS_FLORES_A17_2024; DS_FLORES_ECONOMIC_SPHERE_2024","2024","employment structure; node features","Catalogue INSEE / Melodi DS_FLORES_*","https://catalogue-donnees.insee.fr/fr/catalogue/recherche ; https://api.insee.fr/melodi/data/DS_FLORES_A17_2024","high","Importante para features economicas e estruturais; buscar historico oficial disponivel."
business_demography,"DS_SIDE_STOCKS_ET_COM_2022; DS_SIDE_STOCKS_ET_COM_2023; DS_SIDE_STOCKS_UL_COM_2023; DS_SIDE_CREA_ENT_COM_2024; DS_SIDE_CREA_ETAB_COM_2024; DS_SIDE_CREA_ENT_SERIES","2022;2023;2024","business stock; business creation; target candidates","Catalogue INSEE / Melodi DS_SIDE_*","https://catalogue-donnees.insee.fr/fr/catalogue/recherche ; https://api.insee.fr/melodi/data","high","Familia central para dinamica economica; buscar continuidade anterior e posterior ate ultimo ano oficial."
wages_private_sector,"DS_BTS_SAL_EQTP_SEX_AGE_2023; DS_BTS_SAL_EQTP_SEX_PCS_2023","2023","optional economic enrichment","Catalogue INSEE / Melodi DS_BTS_*","https://catalogue-donnees.insee.fr/fr/catalogue/recherche ; https://api.insee.fr/melodi/data","medium","Nao entra no caminho critico do grafo, mas pode enriquecer features depois."
policy_zrr_frr,,,"policy context; labels; regime shifts","Service-Public / Légifrance / ANCT / data.gouv.fr","https://www.service-public.fr ; https://www.legifrance.gouv.fr ; https://www.data.gouv.fr","high","Precisamos localizar os zonages e regimes ZRR/FRR oficialmente publicados para usar como contexto e possiveis labels."
monthly_activity_turnover_ICA,,1999-01_2026-01,"future macro-sectoral temporal covariate; possible monthly/intra-annual context","INSEE Melodi DS_ICA","https://catalogue-donnees.insee.fr/fr/catalogue/recherche/DS_ICA","future_high_not_current_pipeline","Official monthly activity and turnover indices. Not directly territorial at ZE2020 level; future use should map sectoral shocks to zones through local economic composition, not treat it as observed territorial data."
regional_accounts,,1990_2024,"future annual macro-regional context; GDP, value added by branch, household regional accounts","INSEE Melodi DS_COMPTES_REGIONAUX","https://catalogue-donnees.insee.fr/fr/catalogue/recherche/DS_COMPTES_REGIONAUX","future_high_not_current_pipeline","Official annual regional accounts. Regional level, not ZE2020; future use should attach regional macro context to zones through region membership and avoid interpreting it as zone-specific local signal."
