feature_idx,feature_name,train_mean,train_std,train_observed_count,has_train_observation,missing_rate_all_samples,scaling_scope,imputation_after_scaling
0,filosofi_s_hh_tax_weighted_proxy,56.7833048125,10.890993725271962,560,True,0.6,train_samples_only,missing_values_set_to_zero_with_mask_preserved
1,filosofi_s_dir_tax_di_weighted_proxy,-14.527207364285715,1.8668849614753111,560,True,0.6,train_samples_only,missing_values_set_to_zero_with_mask_preserved
2,population_total,232425.09285714285,448296.9889339527,280,True,0.6,train_samples_only,missing_values_set_to_zero_with_mask_preserved
3,active_lr_total,107701.19445668928,228095.16605145036,280,True,0.6,train_samples_only,missing_values_set_to_zero_with_mask_preserved
4,employed_lr_total,95090.60699379643,201354.32090073833,280,True,0.6,train_samples_only,missing_values_set_to_zero_with_mask_preserved
5,unemployed_lr_total,12610.587462932142,26894.165600909862,280,True,0.6,train_samples_only,missing_values_set_to_zero_with_mask_preserved
6,unemployment_rate_est,0.11501315357142856,0.024340505665042936,280,True,0.6,train_samples_only,missing_values_set_to_zero_with_mask_preserved
7,jobs_lt_total,94987.73586184644,251962.91458489606,280,True,0.6,train_samples_only,missing_values_set_to_zero_with_mask_preserved
8,jobs_lt_per_1000_pop,371.5742066142857,52.3179528714015,280,True,0.6,train_samples_only,missing_values_set_to_zero_with_mask_preserved
9,side_stocks_et_total,19225.219047619048,55106.5631984078,840,True,0.2,train_samples_only,missing_values_set_to_zero_with_mask_preserved
10,side_stocks_ul_total,17066.629761904762,49433.50562239013,840,True,0.2,train_samples_only,missing_values_set_to_zero_with_mask_preserved
11,side_stocks_et_per_1000_pop,79.90041848571428,24.407043095174593,280,True,0.6,train_samples_only,missing_values_set_to_zero_with_mask_preserved
12,bpe_facilities_total,7622.689285714286,10828.655608082501,280,True,0.6,train_samples_only,missing_values_set_to_zero_with_mask_preserved
13,bpe_facilities_per_1000_pop,36.178495628571426,8.393522036688356,280,True,0.6,train_samples_only,missing_values_set_to_zero_with_mask_preserved
14,bpe_evolution_commune_type_presence_total,2113.707142857143,1403.2785488502504,280,True,0.8,train_samples_only,missing_values_set_to_zero_with_mask_preserved
15,flores_presential_unit_loc_total,0.0,1.0,0,False,1.0,train_samples_only,missing_values_set_to_zero_with_mask_preserved
16,flores_productive_unit_loc_total,0.0,1.0,0,False,1.0,train_samples_only,missing_values_set_to_zero_with_mask_preserved
17,flores_et_total,7047.827380952381,10336.673273901675,840,True,0.4,train_samples_only,missing_values_set_to_zero_with_mask_preserved
18,static_nb_com,122.80714285714286,87.19660842262252,840,True,0.0,train_samples_only,missing_values_set_to_zero_with_mask_preserved
19,static_pop_growth_2021_2023,0.006713755044991651,0.011609511115998335,840,True,0.0,train_samples_only,missing_values_set_to_zero_with_mask_preserved
20,static_pop_growth_2018_2023,0.011466303771285368,0.026618769916062882,840,True,0.0,train_samples_only,missing_values_set_to_zero_with_mask_preserved
21,static_zan_artif_per_pop21,76.36599910357143,37.69916456896279,840,True,0.0,train_samples_only,missing_values_set_to_zero_with_mask_preserved
22,static_zan_artif_per_surface,0.007564835714285714,0.0049793466153570136,840,True,0.0,train_samples_only,missing_values_set_to_zero_with_mask_preserved
23,static_zan_communes_count,122.73214285714286,87.12722451995714,840,True,0.0,train_samples_only,missing_values_set_to_zero_with_mask_preserved
