feature_year,target_year,target_available,has_current_panel_row,available_feature_count_current_panel,full_coverage_feature_count_current_panel,available_features_current_panel,full_coverage_features_current_panel,long_history_possible_with_side_creations_only,rich_feature_package_possible_current
2012,2013,True,False,0,0,,,True,False
2013,2014,True,False,0,0,,,True,False
2014,2015,True,False,0,0,,,True,False
2015,2016,True,False,0,0,,,True,False
2016,2017,True,False,0,0,,,True,False
2017,2018,True,False,0,0,,,True,False
2018,2019,True,False,0,0,,,True,False
2019,2020,True,True,5,5,"bpe_evolution_commune_type_presence_total,flores_et_total,side_creations_et_total,side_stocks_et_total,side_stocks_ul_total","bpe_evolution_commune_type_presence_total,flores_et_total,side_creations_et_total,side_stocks_et_total,side_stocks_ul_total",True,True
2020,2021,True,True,6,6,"filosofi_s_dir_tax_di_weighted_proxy,filosofi_s_hh_tax_weighted_proxy,flores_et_total,side_creations_et_total,side_stocks_et_total,side_stocks_ul_total","filosofi_s_dir_tax_di_weighted_proxy,filosofi_s_hh_tax_weighted_proxy,flores_et_total,side_creations_et_total,side_stocks_et_total,side_stocks_ul_total",True,True
2021,2022,True,True,16,16,"active_lr_total,bpe_facilities_per_1000_pop,bpe_facilities_total,employed_lr_total,filosofi_s_dir_tax_di_weighted_proxy,filosofi_s_hh_tax_weighted_proxy,flores_et_total,jobs_lt_per_1000_pop,jobs_lt_total,population_total,side_creations_et_total,side_stocks_et_per_1000_pop,side_stocks_et_total,side_stocks_ul_total,unemployed_lr_total,unemployment_rate_est","active_lr_total,bpe_facilities_per_1000_pop,bpe_facilities_total,employed_lr_total,filosofi_s_dir_tax_di_weighted_proxy,filosofi_s_hh_tax_weighted_proxy,flores_et_total,jobs_lt_per_1000_pop,jobs_lt_total,population_total,side_creations_et_total,side_stocks_et_per_1000_pop,side_stocks_et_total,side_stocks_ul_total,unemployed_lr_total,unemployment_rate_est",True,True
2022,2023,True,True,8,8,"active_lr_total,employed_lr_total,jobs_lt_per_1000_pop,jobs_lt_total,population_total,side_creations_et_total,unemployed_lr_total,unemployment_rate_est","active_lr_total,employed_lr_total,jobs_lt_per_1000_pop,jobs_lt_total,population_total,side_creations_et_total,unemployed_lr_total,unemployment_rate_est",True,True
2023,2024,True,True,6,6,"bpe_facilities_per_1000_pop,bpe_facilities_total,side_creations_et_total,side_stocks_et_per_1000_pop,side_stocks_et_total,side_stocks_ul_total","bpe_facilities_per_1000_pop,bpe_facilities_total,side_creations_et_total,side_stocks_et_per_1000_pop,side_stocks_et_total,side_stocks_ul_total",True,True
