fold_validation_year,target_role,model,selected_model,observed_aggregate_growth,wmape,mae,rmse,rows,zones
2020,test,persistence,,0.03532719055001201,14.316937027125192,565.925,1224.9737067149063,280,280
2020,test,ridge_autoregressive,,0.03532719055001201,8.357557210879698,330.3605062735137,613.4256773731074,280,280
2020,test,temporal_regime,ridge_autoregressive,0.03532719055001201,8.357557210879698,330.3605062735137,613.4256773731074,280,280
2020,test,oracle_regime_not_usable,,0.03532719055001201,8.345612935624125,329.8883686953988,613.3825148461311,280,280
2020,validation,persistence,,0.1518790752070221,3.96366700093532,134.24642857142857,227.64297704958963,280,280
2020,validation,ridge_autoregressive,,0.1518790752070221,5.936782651546462,201.07437582089,1038.0500518310023,280,280
2020,validation,temporal_regime,ridge_autoregressive,0.1518790752070221,5.936782651546462,201.07437582089,1038.0500518310023,280,280
2020,validation,oracle_regime_not_usable,,0.1518790752070221,2.5204806591081144,85.3667895634975,157.90185015521632,280,280
2021,test,persistence,,0.1670868750520647,3.3687525018585234,134.65,469.7219162136557,280,280
2021,test,ridge_autoregressive,,0.1670868750520647,8.337680554420174,333.25947395461856,1455.6100198268134,280,280
2021,test,temporal_regime,ridge_autoregressive,0.1670868750520647,8.337680554420174,333.25947395461856,1455.6100198268134,280,280
2021,test,oracle_regime_not_usable,,0.1670868750520647,2.611884903575529,104.39778584874348,452.8631051890701,280,280
2021,validation,persistence,,0.03532719055001201,14.316937027125192,565.925,1224.9737067149063,280,280
2021,validation,ridge_autoregressive,,0.03532719055001201,7.4360533372558795,293.93497204838513,1166.6848466666713,280,280
2021,validation,temporal_regime,ridge_autoregressive,0.03532719055001201,7.4360533372558795,293.93497204838513,1166.6848466666713,280,280
2021,validation,oracle_regime_not_usable,,0.03532719055001201,7.016869685721923,277.36533096210394,920.198426549969,280,280
2022,test,persistence,,0.011180038923232327,3.5657895094423715,140.58214285714286,470.6559442492391,280,280
2022,test,ridge_autoregressive,,0.011180038923232327,10.40575654926424,410.2495533938799,1013.8162325371801,280,280
2022,test,temporal_regime,ridge_autoregressive,0.011180038923232327,10.40575654926424,410.2495533938799,1013.8162325371801,280,280
2022,test,oracle_regime_not_usable,,0.011180038923232327,3.3421563778656975,131.76535073644956,467.35673272275756,280,280
2022,validation,persistence,,0.1670868750520647,3.3687525018585234,134.65,469.7219162136557,280,280
2022,validation,ridge_autoregressive,,0.1670868750520647,4.850262166082046,193.86636456748968,491.65545482826764,280,280
2022,validation,temporal_regime,ridge_autoregressive,0.1670868750520647,4.850262166082046,193.86636456748968,491.65545482826764,280,280
2022,validation,oracle_regime_not_usable,,0.1670868750520647,2.5716190286993483,102.78834732540687,347.10887489040823,280,280
2023,test,persistence,,-0.013636022473837708,9.469858230203045,412.3071428571429,1319.3677923265261,280,280
2023,test,ridge_autoregressive,,-0.013636022473837708,3.1130257051774244,135.53769263925145,295.29280761671436,280,280
2023,test,temporal_regime,persistence,-0.013636022473837708,9.469858230203045,412.3071428571429,1319.3677923265261,280,280
2023,test,oracle_regime_not_usable,,-0.013636022473837708,2.908974371554909,126.65352348730364,270.7252843075019,280,280
2023,validation,persistence,,0.011180038923232327,3.5657895094423715,140.58214285714286,470.6559442492391,280,280
2023,validation,ridge_autoregressive,,0.011180038923232327,10.311432349116206,406.53079822199373,1024.2329024444941,280,280
2023,validation,temporal_regime,persistence,0.011180038923232327,3.5657895094423715,140.58214285714286,470.6559442492391,280,280
2023,validation,oracle_regime_not_usable,,0.011180038923232327,3.339328720662437,131.65386964429675,467.27572966542533,280,280
