variable_code,variable_label_fr,first_seen_in
ACTIVITY,Activité économique,DS_FLORES_A17_2024_CSV_FR.zip
AGE,Âge,DS_BTS_SAL_EQTP_SEX_AGE_2023_CSV_FR.zip
BPE_MEASURE,Mesure BPE,DS_BPE_2024_CSV_FR.zip
CONF_STATUS,Statut de confidentialité,DS_BTS_SAL_EQTP_SEX_AGE_2023_CSV_FR.zip
DECIMALS,Décimales,DS_SIDE_CREA_ENT_SERIES_CSV_FR.zip
DERA_MEASURE,Mesure des salaires,DS_BTS_SAL_EQTP_SEX_AGE_2023_CSV_FR.zip
ECONOMIC_SPHERE,Sphère économique,DS_FLORES_ECONOMIC_SPHERE_2024_CSV_FR.zip
EDUC,Diplôme,DS_RP_DIPLOMES_PRINC_2022_CSV_FR.zip
EMPFORM,Forme d'emploi,DS_RP_EMPLOI_LT_COMP_2022_CSV_FR.zip
EMPSTA_ENQ,Statut d'emploi variable selon l'enquête,DS_RP_EMPLOI_LR_COMP_2022_CSV_FR.zip
EMP_ACTIVITY,Activité économique des emplois,DS_RP_EMPLOI_LT_COMP_2022_CSV_FR.zip
FACILITY_DOM,1er niveau de la classification des types d'équipements,DS_BPE_2024_CSV_FR.zip
FACILITY_SDOM,2e niveau de la classification des types d'équipements,DS_BPE_2024_CSV_FR.zip
FACILITY_TYPE,3e niveau de la classification des types d'équipements,DS_BPE_2024_CSV_FR.zip
FILOSOFI_MEASURE,Mesures filosofi,DS_FILOSOFI_CC_2021_CSV_FR.zip
FLORES_MEASURE,Mesures de Flores,DS_FLORES_A17_2024_CSV_FR.zip
FREQ,Fréquence,DS_BTS_SAL_EQTP_SEX_AGE_2023_CSV_FR.zip
GEO,Géographie,DS_BPE_2024_CSV_FR.zip
LEGAL_FORM,Forme légale,DS_SIDE_CREA_ENT_COM_2024_CSV.zip
LEGAL_FORM_WITH_PUBLIC,Forme légale avec versant de la fonction publique,DS_FLORES_A17_2024_CSV_FR.zip
NUMBER_EMPL,Taille en tranches d'effectifs,DS_FLORES_A17_2024_CSV_FR.zip
OBS_STATUS,Statut de l'observation,DS_FILOSOFI_CC_2021_CSV_FR.zip
PCS,Profession et catégorie socioprofessionnelle (PCS),DS_RP_EMPLOI_LR_COMP_2022_CSV_FR.zip
PCS_ESE,Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics,DS_BTS_SAL_EQTP_SEX_PCS_2023_CSV_FR.zip
RP_MEASURE,Mesure du recensement ,DS_RP_DIPLOMES_PRINC_2022_CSV_FR.zip
SEASONAL_ADJUST, Ajustement saisonnier ,DS_SIDE_CREA_ENT_SERIES_CSV_FR.zip
SEX,Sexe,DS_BTS_SAL_EQTP_SEX_AGE_2023_CSV_FR.zip
SIDE_MEASURE,Mesure démographie entreprises et établissements,DS_SIDE_CREA_ENT_COM_2024_CSV.zip
STUD_AREA,Indicateur du lieu d’étude,DS_RP_DIPLOMES_PRINC_2022_CSV_FR.zip
TIME_PERIOD,Période temporelle,DS_BPE_2024_CSV_FR.zip
TRANS,Mode de transport,DS_RP_NAVETTES_PRINC_2022_CSV_FR.zip
UNIT_MEASURE,Unité de mesure,DS_FILOSOFI_CC_2021_CSV_FR.zip
UNIT_MULT,Quantité d'unités (en puissance de 10),DS_FILOSOFI_CC_2021_CSV_FR.zip
WKTIME,Temps de travail,DS_RP_EMPLOI_LT_PRINC_2022_CSV_FR (1).zip
WORK_AREA,Indicateur du lieu de travail,DS_RP_NAVETTES_PRINC_2022_CSV_FR.zip
