package,model,split,group_type,group,rows,zones,mae,wmape,median_ape
controlled_hybrid,lags_only,test,size_group,large,69,69,394.30385796464367,3.122618172836323,2.3579832044078994
controlled_hybrid,lags_only,test,size_group,mid_high,68,68,84.12774905791287,3.262699580199203,2.901259378840548
controlled_hybrid,lags_only,test,size_group,mid_low,70,70,61.05769152064865,4.179743395444184,3.183790163609424
controlled_hybrid,lags_only,test,size_group,nan,3,3,107.42420082135868,3.0760007870962682,2.981337856651827
controlled_hybrid,lags_only,test,size_group,small,70,70,43.24294325171761,5.067560691109158,3.8506822411715604
controlled_hybrid,lags_only,test,volatility_group,high_vol,70,70,313.9874410680571,3.268037504351213,3.077013592397019
controlled_hybrid,lags_only,test,volatility_group,low_vol,69,69,78.14672606619261,3.7315221232697753,3.6646005646975657
controlled_hybrid,lags_only,test,volatility_group,mid_high_vol,68,68,94.08797468860426,3.175728925036651,2.6955048216925226
controlled_hybrid,lags_only,test,volatility_group,mid_low_vol,70,70,92.27814739153933,3.3979864581806933,2.8347595678463353
controlled_hybrid,lags_only,test,volatility_group,nan,3,3,107.42420082135868,3.0760007870962682,2.981337856651827
controlled_hybrid,lags_only,train,size_group,large,207,69,841.7110243219514,7.618333496629437,9.27144220406633
controlled_hybrid,lags_only,train,size_group,mid_high,204,68,202.58996003238067,9.200454998031086,8.974675234042273
controlled_hybrid,lags_only,train,size_group,mid_low,210,70,110.34581696799886,8.827497214635821,8.214696870461278
controlled_hybrid,lags_only,train,size_group,nan,9,3,245.29377779198643,8.116636641523137,10.082764341206312
controlled_hybrid,lags_only,train,size_group,small,210,70,67.75874146427584,9.591086349081914,8.806708875750692
controlled_hybrid,lags_only,train,volatility_group,high_vol,210,70,642.8997671600874,7.687106053599966,10.687248454586488
controlled_hybrid,lags_only,train,volatility_group,low_vol,207,69,125.89423145049733,7.007929176169089,6.537246503649545
controlled_hybrid,lags_only,train,volatility_group,mid_high_vol,204,68,236.70112045769764,9.182435077837825,9.399833563948125
controlled_hybrid,lags_only,train,volatility_group,mid_low_vol,210,70,207.659074118027,8.84428052965927,9.03216560888713
controlled_hybrid,lags_only,train,volatility_group,nan,9,3,245.29377779198643,8.116636641523137,10.082764341206312
controlled_hybrid,lags_only,validation,size_group,large,69,69,853.0329341500917,7.450427646207442,8.478524585037716
controlled_hybrid,lags_only,validation,size_group,mid_high,68,68,165.01603179741807,7.092798009041762,7.418614738101239
controlled_hybrid,lags_only,validation,size_group,mid_low,70,70,89.75944953662406,6.752312113187986,6.250369679156397
controlled_hybrid,lags_only,validation,size_group,nan,3,3,278.84155856420665,8.893521961435466,9.161679674685196
controlled_hybrid,lags_only,validation,size_group,small,70,70,48.710183073612555,6.405261426470195,5.316096845394913
controlled_hybrid,lags_only,validation,volatility_group,high_vol,70,70,574.7117787308001,6.600950769319476,6.7699601603645725
controlled_hybrid,lags_only,validation,volatility_group,low_vol,69,69,154.68031117737897,8.198729025825523,7.3463645761916565
controlled_hybrid,lags_only,validation,volatility_group,mid_high_vol,68,68,216.38168749463458,8.034265998490309,6.39651586927646
controlled_hybrid,lags_only,validation,volatility_group,mid_low_vol,70,70,202.23594527524307,8.243568998222198,7.909980026791979
controlled_hybrid,lags_only,validation,volatility_group,nan,3,3,278.84155856420665,8.893521961435466,9.161679674685196
controlled_hybrid,lags_plus_side_stocks,test,size_group,large,69,69,416.28427353939026,3.2966881032562094,2.4477576944728483
controlled_hybrid,lags_plus_side_stocks,test,size_group,mid_high,68,68,88.1034763262723,3.4168889390578756,3.223947824226906
controlled_hybrid,lags_plus_side_stocks,test,size_group,mid_low,70,70,61.48225534904486,4.208807184354112,3.3000122315897276
controlled_hybrid,lags_plus_side_stocks,test,size_group,nan,3,3,106.00575643330967,3.0353848363074256,3.824644410775327
controlled_hybrid,lags_plus_side_stocks,test,size_group,small,70,70,47.136748258017896,5.523868511645577,4.082043531552451
controlled_hybrid,lags_plus_side_stocks,test,volatility_group,high_vol,70,70,335.9133024689789,3.4962457955162343,2.8173135233840707
controlled_hybrid,lags_plus_side_stocks,test,volatility_group,low_vol,69,69,78.6401253788394,3.7550820411758448,3.5145340161941636
controlled_hybrid,lags_plus_side_stocks,test,volatility_group,mid_high_vol,68,68,101.62295671000176,3.4300553725362315,3.0132992441512867
controlled_hybrid,lags_plus_side_stocks,test,volatility_group,mid_low_vol,70,70,92.39315195214677,3.4022213063069238,2.9959970538496705
