label	total_wmape	sector_wmape_mean	delta_vs_v3	delta_vs_ridge
[A-1/24] full seed=0  12:57:52	0.029829	0.20952	0.003729	-0.036971
[A-2/24] full seed=7  13:00:24	0.028346	0.19055	0.002246	-0.038454
[A-3/24] full seed=42  13:02:50	0.034982	0.19466	0.008882	-0.031818
[A-4/24] self_only seed=0  13:05:18	0.03121	0.21612	0.00511	-0.03559
[A-5/24] self_only seed=7  13:06:36	0.033635	0.19346	0.007535	-0.033165
[A-6/24] self_only seed=42  13:07:50	0.038051	0.19898	0.011951	-0.028749
[A-7/24] fixed_geo_mob_only seed=0  13:09:04	0.030966	0.2081	0.004866	-0.035834
[A-8/24] fixed_geo_mob_only seed=7  13:10:45	0.030688	0.20624	0.004588	-0.036112
[A-9/24] fixed_geo_mob_only seed=42  13:12:25	0.027307	0.20913	0.001207	-0.039493
[A-10/24] static_adaptive seed=0  13:14:20	0.032041	0.21529	0.005941	-0.034759
[A-11/24] static_adaptive seed=7  13:16:16	0.037711	0.20182	0.011611	-0.029089
[A-12/24] static_adaptive seed=42  13:18:14	0.02428	0.1966	-0.00182	-0.04252
[A-13/24] no_sector_head seed=0  13:20:03	0.034715	0.85407	0.008615	-0.032085
[A-14/24] no_sector_head seed=7  13:22:31	0.029361	0.85095	0.003261	-0.037439
[A-15/24] no_sector_head seed=42  13:24:58	0.040649	0.85489	0.014549	-0.026151
[A-16/24] no_quarterly seed=0  13:27:10	0.030893	0.19966	0.004793	-0.035907
[A-17/24] no_quarterly seed=7  13:28:54	0.03015	0.20216	0.00405	-0.03665
[A-18/24] no_quarterly seed=42  13:30:45	0.032061	0.19187	0.005961	-0.034739
[A-19/24] no_regime seed=0  13:32:26	0.028024	0.20303	0.001924	-0.038776
[A-20/24] no_regime seed=7  13:34:40	0.028591	0.19438	0.002491	-0.038209
[A-21/24] no_regime seed=42  13:36:53	0.033015	0.20305	0.006915	-0.033785
[A-22/24] no_smooth seed=0  13:39:05	0.031692	0.21867	0.005592	-0.035108
[A-23/24] no_smooth seed=7  13:41:12	0.039185	0.21414	0.013085	-0.027615
[A-24/24] no_smooth seed=42  13:43:34	0.035508	0.2164	0.009408	-0.031292
[B-1/2] smooth=0.01 seed=0  13:45:55	0.022546	0.2158	-0.003554	-0.044254
[B-2/2] smooth=0.5 seed=0  13:48:20	0.035297	0.20806	0.009197	-0.031503
[C-1/2] top-k=5 seed=0  13:50:31	0.031703	0.20874	0.005603	-0.035097
[C-2/2] top-k=20 seed=0  13:52:43	0.032998	0.21177	0.006898	-0.033802
[D-1/2] hidden=16 seed=0  13:54:56	0.033384	0.2393	0.007284	-0.033416
[D-2/2] hidden=64 seed=0  13:57:07	0.028215	0.17762	0.002115	-0.038585
