ZE2020,libze2020,alert_type,severity,value,unit,confidence,description
2703,Avallon,deceleration_forecast,high,-14.74,pct_growth_2025_2026,moderate_to_high,Prévision de décroissance -14.7% (2025→2026)
2801,Argentan,deceleration_forecast,high,-34.42,pct_growth_2025_2026,moderate_to_high,Prévision de décroissance -34.4% (2025→2026)
5204,Château-Gontier-sur-Mayenne,deceleration_forecast,high,-16.6,pct_growth_2025_2026,moderate_to_high,Prévision de décroissance -16.6% (2025→2026)
5209,La Flèche,deceleration_forecast,high,-20.09,pct_growth_2025_2026,moderate_to_high,Prévision de décroissance -20.1% (2025→2026)
58,La Vallée de la Bresle-Vimeu,deceleration_forecast,medium,-5.58,pct_growth_2025_2026,moderate_to_high,Prévision de décroissance -5.6% (2025→2026)
2415,Vierzon,high_historical_error,medium,17.11,wmape_pct,any_forecast_exploratory,WMAPE historique élevé (17.1%) — prévision exploratoire
2801,Argentan,high_historical_error,medium,23.56,wmape_pct,any_forecast_exploratory,WMAPE historique élevé (23.6%) — prévision exploratoire
2812,L'Aigle,high_historical_error,medium,21.59,wmape_pct,any_forecast_exploratory,WMAPE historique élevé (21.6%) — prévision exploratoire
2818,Vire Normandie,high_historical_error,medium,24.19,wmape_pct,any_forecast_exploratory,WMAPE historique élevé (24.2%) — prévision exploratoire
3214,Laon,deceleration_forecast,medium,-7.66,pct_growth_2025_2026,moderate_to_high,Prévision de décroissance -7.7% (2025→2026)
4409,Haguenau,deceleration_forecast,medium,-7.42,pct_growth_2025_2026,moderate_to_high,Prévision de décroissance -7.4% (2025→2026)
4421,Sedan,deceleration_forecast,medium,-5.05,pct_growth_2025_2026,moderate_to_high,Prévision de décroissance -5.1% (2025→2026)
5218,Sablé-sur-Sarthe,deceleration_forecast,medium,-7.39,pct_growth_2025_2026,moderate_to_high,Prévision de décroissance -7.4% (2025→2026)
5306,Guingamp,high_historical_error,medium,20.44,wmape_pct,any_forecast_exploratory,WMAPE historique élevé (20.4%) — prévision exploratoire
5307,Lamballe-Armor,deceleration_forecast,medium,-5.62,pct_growth_2025_2026,moderate_to_high,Prévision de décroissance -5.6% (2025→2026)
5312,Pontivy-Loudéac,deceleration_forecast,medium,-5.38,pct_growth_2025_2026,moderate_to_high,Prévision de décroissance -5.4% (2025→2026)
8429,Saint-Flour,high_historical_error,medium,27.98,wmape_pct,any_forecast_exploratory,WMAPE historique élevé (28.0%) — prévision exploratoire
53,Avignon,opportunity_signal,positive,51.8,opportunity_score_percentile,moderate_to_high,Opportunité élevée (score p52)
54,Beauvais,opportunity_signal,positive,78.2,opportunity_score_percentile,moderate_to_high,Opportunité très élevée (score p78)
57,Dreux,opportunity_signal,positive,78.9,opportunity_score_percentile,moderate_to_high,Opportunité très élevée (score p79)
59,Mâcon,opportunity_signal,positive,71.8,opportunity_score_percentile,moderate_to_high,Opportunité élevée (score p72)
60,Nevers,opportunity_signal,positive,77.3,opportunity_score_percentile,moderate_to_high,Opportunité très élevée (score p77)
1101,Cergy-Vexin,opportunity_signal,positive,90.0,opportunity_score_percentile,moderate_to_high,Opportunité très élevée (score p90)
1103,Étampes,opportunity_signal,positive,72.1,opportunity_score_percentile,moderate_to_high,Opportunité élevée (score p72)
1104,Évry-Courcouronnes,opportunity_signal,positive,87.9,opportunity_score_percentile,moderate_to_high,Opportunité très élevée (score p88)
1105,Fontainebleau-Nemours,opportunity_signal,positive,61.8,opportunity_score_percentile,moderate_to_high,Opportunité élevée (score p62)
1106,Marne-la-Vallée,opportunity_signal,positive,82.9,opportunity_score_percentile,moderate_to_high,Opportunité très élevée (score p83)
1107,Meaux,opportunity_signal,positive,79.3,opportunity_score_percentile,moderate_to_high,Opportunité très élevée (score p79)
1108,Melun,opportunity_signal,positive,80.4,opportunity_score_percentile,moderate_to_high,Opportunité très élevée (score p80)
1109,Paris,opportunity_signal,positive,87.1,opportunity_score_percentile,moderate_to_high,Opportunité très élevée (score p87)
1112,Roissy,opportunity_signal,positive,76.4,opportunity_score_percentile,moderate_to_high,Opportunité très élevée (score p76)
1113,Saclay,opportunity_signal,positive,88.6,opportunity_score_percentile,moderate_to_high,Opportunité très élevée (score p89)
1114,Seine-Yvelinoise,opportunity_signal,positive,95.0,opportunity_score_percentile,moderate_to_high,Opportunité très élevée (score p95)
1115,Versailles-Saint-Quentin,opportunity_signal,positive,72.9,opportunity_score_percentile,moderate_to_high,Opportunité élevée (score p73)
2401,Blois,opportunity_signal,positive,63.6,opportunity_score_percentile,moderate_to_high,Opportunité élevée (score p64)
2402,Bourges,opportunity_signal,positive,65.7,opportunity_score_percentile,moderate_to_high,Opportunité élevée (score p66)
2403,Chartres,opportunity_signal,positive,93.6,opportunity_score_percentile,moderate_to_high,Opportunité très élevée (score p94)
2405,Châteauroux,opportunity_signal,positive,81.1,opportunity_score_percentile,moderate_to_high,Opportunité très élevée (score p81)
2409,Montargis,opportunity_signal,positive,86.1,opportunity_score_percentile,moderate_to_high,Opportunité très élevée (score p86)
2410,Orléans,opportunity_signal,positive,95.4,opportunity_score_percentile,moderate_to_high,Opportunité très élevée (score p95)
2413,Tours,opportunity_signal,positive,71.1,opportunity_score_percentile,moderate_to_high,Opportunité élevée (score p71)
2705,Belfort,opportunity_signal,positive,81.4,opportunity_score_percentile,moderate_to_high,Opportunité très élevée (score p81)
2706,Besançon,opportunity_signal,positive,94.3,opportunity_score_percentile,moderate_to_high,Opportunité très élevée (score p94)
