label,ref,n,mean_wmape_delta,mean_wmape_wins,mean_wmape_p,mean_wmape_ci95_lo,mean_wmape_ci95_hi,wmape_2021_delta,wmape_2021_wins,wmape_2021_p,wmape_2021_ci95_lo,wmape_2021_ci95_hi,wmape_2022_delta,wmape_2022_wins,wmape_2022_p,wmape_2022_ci95_lo,wmape_2022_ci95_hi,wmape_2023_delta,wmape_2023_wins,wmape_2023_p,wmape_2023_ci95_lo,wmape_2023_ci95_hi,wmape_2024_delta,wmape_2024_wins,wmape_2024_p,wmape_2024_ci95_lo,wmape_2024_ci95_hi,wmape_2025_delta,wmape_2025_wins,wmape_2025_p,wmape_2025_ci95_lo,wmape_2025_ci95_hi,sector_wmape_mean_delta,sector_wmape_mean_wins,sector_wmape_mean_p,sector_wmape_mean_ci95_lo,sector_wmape_mean_ci95_hi
HC5_trainopt,L5_gate_no_auditor,20,-0.0005133000000000001,12,0.24548721313476562,-0.0012936600000000005,0.00027250249999999945,0.0019964500000000003,4,0.082550048828125,-0.00012801499999999982,0.00392745,-0.0011704999999999997,15,0.1893482208251953,-0.0029461525,0.0007132737499999939,-0.00035064999999999993,9,0.6476554870605469,-0.002793672499999999,0.0021555099999999985,-0.0017929500000000004,13,0.023950576782226562,-0.00304175125,-0.0005353912500000015,-0.0012483500000000003,11,0.24548721313476562,-0.0029902075,0.0004073662499999986,0.0012990000000000002,9,0.38837623596191406,-0.0008425625000000001,0.0035755749999999945
L5_trainopt,L5_gate_no_auditor,20,-0.00037455000000000024,17,0.002818460765308252,-0.0005751037500000008,-0.0001704000000000004,0.00013229999999999996,4,0.31089682851661204,-0.0001615999999999996,0.0003974999999999989,-0.0005193,9,0.09619703646278294,-0.0010680512500000005,1.7001249999999986e-05,-0.0006108500000000001,8,0.0663160312989308,-0.0012183662500000003,-2.0795000000000508e-05,-0.0002985,10,0.08686008151624075,-0.0005963012499999999,-1.0395000000000594e-05,-0.0005763500000000002,16,0.00043777719457466354,-0.000806155,-0.00036729625000000044,4.999999999999449e-06,12,0.8372306504854534,-5.200000000000208e-05,6.0000000000001716e-05
AUD_alpha_trainopt,L5_gate_no_auditor,20,0.00013745000000000006,9,0.8123550415039062,-0.0007487062499999999,0.0010607549999999996,-0.0011089499999999996,12,0.2942523956298828,-0.002503007499999999,0.00016800999999999955,0.00181705,10,0.4523754119873047,-0.0005079625000000003,0.0042797075,0.0013115499999999999,11,0.8694877624511719,-0.00137340125,0.004294387499999992,-8.775000000000024e-05,10,0.6215133666992188,-0.00149735125,0.0015169562499999995,-0.00124465,16,0.009435653686523438,-0.0022970337500000004,-0.00015038625000000095,-0.0014534999999999993,12,0.3299827575683594,-0.003942025000000001,0.0007115249999999988
AUD_both_trainopt,L5_gate_no_auditor,20,0.00022699999999999977,10,0.6476554870605469,-0.0005723187500000004,0.001039669999999998,-0.0006743999999999993,11,0.7561664581298828,-0.0020539024999999987,0.0005451162499999981,0.00207515,7,0.03276824951171875,0.0003780925,0.0036984099999999988,0.0004428500000000001,12,0.9272785186767578,-0.0020268012500000003,0.0029752687499999993,0.00043844999999999995,9,0.7011814117431641,-0.0012006662500000003,0.0021792749999999974,-0.0011463499999999998,15,0.04844093322753906,-0.002108399999999999,-0.00019314874999999996,0.00043349999999999915,9,0.9854354858398438,-0.0017040375000000052,0.002768499999999992
L4_a10g,L5_gate_no_auditor,20,0.0005270499999999997,8,0.4304332733154297,-0.0007862425000000005,0.0018079762499999981,-6.784999999999968e-05,10,0.8123550415039062,-0.004013815,0.004128754999999991,0.0011931499999999998,9,0.5958194732666016,-0.00257729875,0.004955707499999998,0.00017775000000000023,10,0.8694877624511719,-0.00207275,0.0023154849999999973,0.0014640999999999999,8,0.20244979858398438,-0.00024070625000000028,0.003270897499999996,-0.00013159999999999968,10,0.9272785186767578,-0.0019009499999999996,0.0015315162499999991,-0.0017729999999999996,13,0.34881019592285156,-0.005032499999999997,0.0015325125000000034
L3_gate,L5_gate_no_auditor,20,0.0006559500000000001,9,0.24548721313476562,-0.0003235050000000005,0.0016248037500000002,0.0005151500000000007,9,0.6215133666992188,-0.002199896249999999,0.0032011812499999934,0.0013773000000000001,10,0.47490501403808594,-0.0018127137499999997,0.004579478749999998,0.00026595000000000015,11,0.8983173370361328,-0.0017147999999999996,0.00228945625,0.0002791999999999997,11,0.956329345703125,-0.0012680775000000002,0.0019220062499999992,0.0008416499999999997,9,0.38837623596191406,-0.0008371175000000001,0.0025799074999999986,-0.0005574999999999996,11,0.7011814117431641,-0.002659012500000003,0.0014400499999999952
side2_AUDboth,L5_gate_no_auditor,20,0.0007226499999999998,7,0.13272666931152344,-6.480625000000062e-05,0.0015095025000000004,-0.0007058500000000003,11,0.6476554870605469,-0.0020292912499999998,0.00045960499999999894,0.0029244500000000003,4,0.0023250579833984375,0.0013273925000000008,0.004454131249999998,0.0012988500000000003,8,0.3299827575683594,-0.0011531775,0.003713078749999993,0.0006469,10,0.6215133666992188,-0.0010615049999999997,0.0024335575000000004,-0.0005510500000000002,13,0.2305126190185547,-0.0016734037500000002,0.0006562837499999967,0.0004320000000000004,9,0.9256336101869982,-0.0016684999999999977,0.00273361249999999
clean_flags_side2,L5_gate_no_auditor,20,0.006992750000000001,0,1.9073486328125e-06,0.0055683124999999995,0.008510902500000002,0.0011313500000000006,7,0.49800872802734375,-0.002074343749999998,0.0043825537500000004,0.0144643,0,1.9073486328125e-06,0.01175598875,0.0174240075,0.011295549999999998,4,0.000133514404296875,0.007257798749999999,0.015349357499999997,0.0079597,2,4.76837158203125e-05,0.005414845000000001,0.010468333749999996,0.00011294999999999986,9,0.8983173370361328,-0.00108586,0.0013385624999999984,0.008366000000000002,1,9.5367431640625e-06,0.005957987500000003,0.010760500000000001
clean_flags_side2_trainopt,L5_gate_no_auditor,20,0.0070799500000000015,0,1.9073486328125e-06,0.0056876475,0.0085578075,0.0016203000000000003,7,0.34881019592285156,-0.00155051625,0.0048127,0.014193350000000002,0,1.9073486328125e-06,0.011515132499999999,0.017143205,0.012193899999999999,2,2.6702880859375e-05,0.008252224999999998,0.0161379675,0.007492649999999998,2,6.29425048828125e-05,0.00506383125,0.009883354999999998,-9.995000000000021e-05,10,0.7561664581298828,-0.0012505012499999999,0.0010784524999999992,0.008608,1,0.0001399457931085244,0.0061814125,0.011009999999999999
extended_flags_current_trainopt,L5_gate_no_auditor,20,0.008724650000000002,0,1.9073486328125e-06,0.0072523475,0.0101702625,0.0008860999999999999,10,0.6215133666992188,-0.00289925,0.0045286462499999946,0.011744649999999999,0,1.9073486328125e-06,0.009371497500000001,0.014189487499999999,0.017258550000000004,0,1.9073486328125e-06,0.012959742499999998,0.021914242499999997,0.0050052,5,0.001689910888671875,0.0025954775000000003,0.007490297499999997,0.0087287,1,1.9073486328125e-05,0.00586138375,0.011654059999999999,0.016699,0,8.844915021211901e-05,0.014970500000000001,0.01860854999999999
