label,n,mean_wmape,std_wmape,wmape_2021,wmape_2022,wmape_2023,wmape_2024,wmape_2025,sector_wmape_mean,shrink_2021,shrink_2025,auditor_confidence_mean,auditor_variance
HC5_trainopt,20,0.020094300000000002,0.001330461775791438,0.03688405,0.01764905,0.016260900000000002,0.0178252,0.0118526,0.159532,0.9525,0.9625,,0.0
L5_trainopt,20,0.02023305,0.0017030849555408193,0.0350199,0.01830025,0.0160007,0.01931965,0.0125246,0.158238,0.9650000000000001,0.9625,,0.0
L5_gate_no_auditor,20,0.0206076,0.0017668775431906932,0.034887600000000005,0.018819549999999997,0.01661155,0.01961815,0.01310095,0.158233,1.0,1.0,,0.0
AUD_alpha_trainopt,20,0.02074505,0.002125832752618433,0.03377865,0.020636599999999998,0.0179231,0.0195304,0.0118563,0.15677950000000002,0.9625,0.9724999999999999,,0.020194419477794767
AUD_both_trainopt,20,0.0208346,0.0021224632759825877,0.0342132,0.0208947,0.0170544,0.0200566,0.0119546,0.1586665,0.9650000000000001,0.9724999999999999,,0.024593623657511898
L4_a10g,20,0.021134649999999998,0.002081529631759956,0.03481975,0.0200127,0.0167893,0.02108225,0.012969350000000001,0.15646,1.0,1.0,,0.0
L3_gate,20,0.02126355,0.0017431129889095723,0.03540275,0.02019685,0.0168775,0.01989735,0.0139426,0.1576755,1.0,1.0,,0.0
side2_AUDboth,20,0.021330250000000002,0.0021124623166990895,0.03418175,0.021744,0.0179104,0.02026505,0.0125499,0.158665,1.0,1.0,,0.024593623657511898
clean_flags_side2,20,0.027600350000000003,0.0025801170572180183,0.03601895,0.03328385,0.0279071,0.027577849999999998,0.0132139,0.166599,1.0,1.0,,0.0
clean_flags_side2_trainopt,20,0.02768755,0.00246582866342502,0.036507899999999996,0.0330129,0.02880545,0.0271108,0.013000999999999999,0.166841,0.9525,0.9574999999999999,,0.0
extended_flags_current_trainopt,20,0.029332249999999997,0.0032352756471679344,0.0357737,0.030564200000000003,0.0338701,0.02462335,0.02182965,0.174932,0.93,0.9275,,0.0
extended_flags_current,20,0.02968595,0.003422650995861787,0.03564155,0.0288533,0.03327795,0.026498050000000002,0.024158950000000002,0.174546,1.0,1.0,,0.0
ridge_side2,20,0.056691000000000005,0.0,0.071763,0.071474,0.071574,0.0362,0.032446,0.17503649999999998,1.0,1.0,,0.0
